Transaction Date,Description,Amount
07/01/2026,COSTCO WHOLESALE #147,-142.30
07/02/2026,STARBUCKS STORE #4021,-5.75
07/03/2026,SHELL OIL 12345,-38.20
07/05/2026,NETFLIX.COM,-15.99
07/06/2026,AMAZON.COM*1A2B3C,-64.12
07/08/2026,DUKE ENERGY PAYMENT,-120.00
07/10/2026,CVS PHARMACY #5521,-22.45
07/12/2026,PAYMENT THANK YOU,650.00
,,
07/14/2026,CHIPOTLE MEXICAN GRILL,-13.40
07/15/2026,LOWES HOME IMPROVEMENT,-89.99
07/16/2026,REGAL CINEMAS,-24.00
07/18/2026,GEICO INSURANCE,-95.00
07/18/2026,UDEMY ONLINE COURSE,-19.99
